Scenario,Shape,Sink,Xm,Ym,Nodes,AERT_FND,LEACH_FND,EDD_FND,AERT_vs_LEACH_FND_pct,AERT_vs_EDD_FND_pct,AERT_HND,LEACH_HND,EDD_HND,AERT_vs_LEACH_HND_pct,AERT_vs_EDD_HND_pct,AERT_AND,LEACH_AND,EDD_AND,AERT_vs_LEACH_AND_pct,AERT_vs_EDD_AND_pct,AERT_Packets_BS,LEACH_Packets_BS,EDD_Packets_BS,AERT_vs_LEACH_Packets_pct,AERT_vs_EDD_Packets_pct,AERT_Residual_Energy,LEACH_Residual_Energy,EDD_Residual_Energy
100x100_200n_square_edge-bottom,square,edge-bottom,100,100,200,931.2,201.2,205,362.823061630219,354.243902439024,2147,1059.4,1058.6,102.661884085331,102.815038730399,4446.6,1474.6,1494.2,201.546182015462,197.590683978048,20690.4,10185.8,10205.4,103.129847434664,102.739726027397,0.302812350113689,0,0.000416268314199611
100x100_200n_square_edge-left,square,edge-left,100,100,200,928.6,207.6,201.6,347.302504816956,360.615079365079,2078,1075,1068.4,93.3023255813954,94.4964432796705,4496.6,1482.8,1467.6,203.250606959806,206.391387298992,20685.6,10264.4,10206.4,101.527609991816,102.672832732403,0.302288158941009,0,0.000576255480633994
100x100_200n_square_edge-right,square,edge-right,100,100,200,935,201.4,205.2,364.250248262165,355.653021442495,2159.4,1063.8,1057.6,102.989283699944,104.179273827534,4500,1456.2,1467.4,209.02348578492,206.664849393485,20590.8,10277.6,10224,100.346384369892,101.396713615023,0.302838214847551,0,0.0004197502594868
100x100_200n_square_corner,square,corner,100,100,200,918.8,203.6,207.8,351.277013752456,342.155919153032,2189.4,1044.8,1038.4,109.552067381317,110.843605546995,4500,1464.8,1420.4,207.209175314036,216.812165587159,20653.2,10093,10099.8,104.628950757951,104.49117804313,0.302987049141572,0,0.000503354804626008
100x100_200n_square_outside-top,square,outside-top,100,100,200,615.6,201.2,201.4,205.96421471173,205.660377358491,2067.8,973.2,978.2,112.474311549527,111.388264158659,4500,1398.8,1401.8,221.704317986846,221.015836781281,20737.8,9473.8,9584,118.896324600477,116.37938230384,0.301443676652252,0,0.000447743995576889
100x100_200n_circle_center,circle,center,100,100,200,834.6,213.4,207.8,291.096532333646,301.636188642926,2230.6,1135.8,1138.2,96.3902095439338,95.976102618169,4386.2,1580.2,1552,177.572459182382,182.615979381443,21124,11008.2,10905.4,91.8933158917897,93.7022025785391,0.3040822868051,0,0.000553569100849217
100x100_200n_circle_edge-top,circle,edge-top,100,100,200,630.2,207,207.4,204.444444444444,203.857280617165,2113.8,1111.6,1145.4,90.1583303346528,84.5468831849136,4482,1532.6,1567.6,192.444212449432,185.914774177086,20640.8,10738.6,10950.8,92.2112752127838,88.4866859042262,0.30082913096769,0,0.000393827112017007
100x100_200n_circle_edge-bottom,circle,edge-bottom,100,100,200,625.4,208.4,205.4,200.095969289827,204.479065238559,2205.2,1122.6,1127.8,96.436843042936,95.5311225394573,4385.2,1543.6,1541,184.089142264835,184.568462037638,20726.8,10803.4,10953.2,91.8544162023067,89.2305444984114,0.30167275054977,0,0.00051932157372851
100x100_200n_circle_edge-left,circle,edge-left,100,100,200,713.2,212.2,202.6,236.098020735156,252.023692003949,2125.2,1121.6,1120.6,89.4793152639087,89.6484026414421,4368.4,1535.4,1542.2,184.512179236681,183.257683828297,20714,10917.6,10868.8,89.7303436652744,90.582216988076,0.301108472832497,0,0.00056611642761723
100x100_200n_circle_edge-right,circle,edge-right,100,100,200,592.8,205.6,203.8,188.326848249027,190.873405299313,2189.4,1125.4,1117.4,94.5441620757064,95.9369965992482,4454.4,1532.6,1566.8,190.64335116795,184.299208577993,20787.6,10703.6,10795.2,94.2112933966142,92.5633614939973,0.301642059207079,0,0.000676551188377137
100x100_200n_circle_corner,circle,corner,100,100,200,537.6,211.2,210.4,154.545454545455,155.513307984791,2274.4,1110.6,1095.2,104.790203493607,107.669831994156,4434,1515.4,1535.4,192.596014253662,188.784681516217,20702.2,10715.4,10715.2,93.2004404875226,93.2040465880245,0.303371225445697,0,0.000653813003042513
100x100_200n_circle_outside-top,circle,outside-top,100,100,200,731.8,202.4,201.4,261.561264822134,263.356504468719,2148,1043.4,1043.6,105.865439907993,105.825986968187,4500,1446.8,1462.8,211.031241360243,207.629204265792,20749.4,10155.6,10086,104.314860766474,105.724767003768,0.303118132175485,0,0.000482609540835752
100x100_200n_triangle_center,triangle,center,100,100,200,723.2,210.2,215.2,244.053282588011,236.059479553903,2274.8,1181.4,1181.4,92.5512104283054,92.5512104283054,4271.2,1633.4,1650,161.491367699278,158.860606060606,21367.6,11389,11403,87.6161208183335,87.3857756730685,0.304020841440365,0,0.000460965859600677
100x100_200n_triangle_edge-top,triangle,edge-top,100,100,200,593.4,218.2,213.6,171.952337305225,177.808988764045,2305.4,1168.6,1157,97.2787951394832,99.256698357822,4318,1622,1568.6,166.214549938348,175.277317353054,20804,11139.4,11210.2,86.7605077472754,85.5809887423953,0.304936662555271,0,0.000435772703886628
100x100_200n_triangle_edge-bottom,triangle,edge-bottom,100,100,200,631,210.6,209.8,199.620132953466,200.762631077216,2214.4,1193.8,1190.6,85.4917071536271,85.9902570132707,4403.6,1619.4,1626.4,171.927874521428,170.75750122971,21099.2,11247.6,11273,87.5884633166187,87.1657943759425,0.302747995023097,0,0.000628186552348219
100x100_200n_triangle_edge-left,triangle,edge-left,100,100,200,830.4,220.2,214.4,277.111716621253,287.313432835821,2264,1186.6,1172.8,90.797235799764,93.0422919508868,4309.2,1590.6,1624.6,170.916635231988,165.24682998892,20934.4,11342.8,11184.4,84.561131290334,87.1749937412825,0.304374986699918,0,0.000561412578048106
100x100_200n_triangle_edge-right,triangle,edge-right,100,100,200,610.6,215.6,213.2,183.209647495362,186.397748592871,2283.2,1168.6,1151.4,95.3790860859148,98.297724509293,4312,1612.8,1611.8,167.361111111111,167.526988460107,20918.2,11202.2,11181,86.7329631679492,87.087022627672,0.304553654983982,0,0.000550096702554283
100x100_200n_triangle_corner,triangle,corner,100,100,200,768.4,209.8,213.4,266.253574833174,260.074976569822,2330.2,1122.2,1128.4,107.645695954375,106.504785537044,4423.4,1559,1573.8,183.733162283515,181.064938365739,20836.2,10876.2,10903.8,91.5761019473713,91.0911792219226,0.305224937824449,0,0.00052580427682205
100x100_200n_triangle_outside-top,triangle,outside-top,100,100,200,908.2,207.8,205.2,337.054860442733,342.592592592593,2276.6,1017.8,1024.6,123.678522303006,122.194026937341,4410.4,1463.2,1431,201.421541826134,208.204053109713,20665.4,9901.6,9985.8,108.70768360669,106.947865969677,0.305363198906928,0,0.000517251465477085
100x100_200n_mixed_center,mixed,center,100,100,200,982.6,209.6,206.8,368.797709923664,375.145067698259,2279.2,1124.4,1127.4,102.70366417645,102.164271775767,4500,1534.4,1540.6,193.274244004171,192.093989354797,21057.6,10816.8,10741.2,94.674950077657,96.0451346218299,0.304962450530381,0,0.000530202516776061
100x100_200n_mixed_edge-top,mixed,edge-top,100,100,200,853.2,201.6,203.8,323.214285714286,318.64573110893,2116.4,1101.8,1090.2,92.0856779814849,94.1295175197211,4500,1520.8,1494.8,195.896896370331,201.043617875301,20407.4,10514.4,10515.2,94.0900098911969,94.0752434570907,0.301859838789953,0,0.000465571079329538
100x100_200n_mixed_edge-bottom,mixed,edge-bottom,100,100,200,952.4,205.8,205.8,362.779397473275,362.779397473275,2154.8,1088,1086.2,98.0514705882353,98.3796722518873,4477.6,1522,1524.6,194.19185282523,193.690148235603,20878,10521.8,10576,98.4261248075425,97.4092284417549,0.303389089964801,0,0.000506805946038295
100x100_200n_mixed_edge-left,mixed,edge-left,100,100,200,851.2,202.6,204.4,320.138203356367,316.438356164384,2061,1096.8,1095.4,87.910284463895,88.150447325178,4468.8,1552.2,1498.4,187.901043679938,198.23812066204,20745.2,10567.4,10733.4,96.3131896209096,93.2770603909293,0.301644882675525,0,0.000499337034227007
100x100_200n_mixed_edge-right,mixed,edge-right,100,100,200,877,206.2,201.6,325.315227934045,335.019841269841,2189.6,1085,1096,101.806451612903,99.7810218978102,4485.6,1508.8,1510.2,197.29586426299,197.020262216925,20945.8,10452,10584,100.399923459625,97.900604686319,0.303131485801884,0,0.000611536656284632
100x100_200n_mixed_corner,mixed,corner,100,100,200,795.4,208.8,206.4,280.938697318008,285.368217054264,2059.4,1069.2,1072.8,92.6112981668537,91.9649515287099,4394.8,1490.8,1493.4,194.794741078616,194.281505289942,20612.8,10363.6,10402.4,98.8961364776718,98.1542720910559,0.301477702096248,0,0.000605657717563307
100x100_200n_mixed_outside-top,mixed,outside-top,100,100,200,522.2,201,200.2,159.800995024876,160.839160839161,2148.6,983.6,1001.4,118.442456283042,114.559616536848,4422,1418.6,1419.4,211.715776117299,211.540087360857,20578.6,9680.8,9671.8,112.571275101231,112.76908124651,0.301040616018468,0,0.000443305412314964
